SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,IENG_to_New_Vendor,CAM_to_New_Vendor,NET_to_IENG,,,
605643,Bubandi,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.6429716,29.9801189,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
701179,Nkongi,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-0.498341667,29.96026,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
607047,Bukomero,TBC,TBC,TBC,CAM_to_New_Vendor,Christopher Alituha,Faridah Nantege,0.6636679,32.0346806,#N/A,CAM_to_IENG,#N/A,Camusat,Christopher Alituha,
605182,Nansana,TBC,TBC,TBC,CAM_to_New_Vendor,Christopher Alituha,Faridah Nantege,0.368404,32.5220333,#N/A,CAM_to_IENG,#N/A,Camusat,Christopher Alituha,
605542,Kamukuzi,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.60977395,30.6409166,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
609833,Katoma,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.2303019,30.0649836,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
609102,Kahunge(Nkyengo),TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.32131,30.7815083,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
606814,Gashoro,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-1.3504696,29.7832411,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
701506,Seseme,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-1.2788559,29.6935324,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
605853,Itendero,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.5743133,30.4084267,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
701526,Migina cell,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.5530617,30.4242091,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
609415,Kayanga,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.1208038,30.791431,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
605806,Buloba,TBC,TBC,TBC,Camusat,Christopher Alituha,Faridah Nantege,0.322664,32.4423248,#N/A,#N/A,#N/A,Camusat,Christopher Alituha,
607308,Kitovu,TBC,TBC,TBC,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.3275679,31.7610241,#N/A,#N/A,#N/A,Camusat,M Patrick Kalibbala,
609948,Bugoba Zone,TBC,TBC,TBC,Netis,Benbridge Mulongo,Kenneth Andama,0.3833608,32.7100548,#N/A,#N/A,#N/A,Netis,Benbridge Mulongo,
607677,Kitetika,TBC,TBC,TBC,NET_to_IENG,Benbridge Mulongo,Kenneth Andama,0.3988349,32.5829211,#N/A,#N/A,NET_to_IENG,Netis,Benbridge Mulongo,
607683,Ggangu,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.2489117,32.5885719,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
607207,Katakala,TBC,TBC,TBC,Camusat,Christopher Alituha,Faridah Nantege,0.40405002,32.01905611,#N/A,#N/A,#N/A,Camusat,Christopher Alituha,
609236,Mbarara BSC (Kamukuzi),TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.609004983,30.64160505,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
609133,Kashaka,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.5839667,30.47435,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
608294,Namulaba,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.437958333,32.92696167,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
701731,Ziranumbu,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.2088756,32.5996309,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
609711,Soweto,TBC,TBC,TBC,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.344318,31.7376307,#N/A,#N/A,#N/A,Camusat,M Patrick Kalibbala,
701572,Maganjo Cell,TBC,TBC,TBC,I-Engineering,Joash Lubwama,Allan Kavuma,0.4065045,32.5454437,#N/A,#N/A,#N/A,I-Engineering,Joash Lubwama,
605142,Cargen,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.3126777,32.5854859,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
607508,Najjera,TBC,TBC,TBC,NET_to_IENG,Benbridge Mulongo,Kenneth Andama,0.3813962,32.6263142,#N/A,#N/A,NET_to_IENG,Netis,Benbridge Mulongo,
606651,Kitetika,TBC,TBC,TBC,NET_to_IENG,Benbridge Mulongo,Kenneth Andama,0.407455,32.5812317,#N/A,#N/A,NET_to_IENG,Netis,Benbridge Mulongo,
607107,Elite Apartments,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.3115655,32.584889,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
609070,Hotel Magherita,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.1743119,30.078573,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
606302,Manduru,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,3.441323333,31.18884833,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
701183,Kyabugaija,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.1374306,30.4924157,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
