SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,Other remarks,
605001,BMK_Katwe,Kampala West ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.300175,32.57678,,
606289,Aduu,Lira ,Rural,B,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.430573333,32.95296167,,
606111,Konge,Kampala South ,Urban,B,Netis,Salim Kinene,William Bwire,0.268336667,32.60597667,,
605002,BugolobiRadioStation,Kampala South ,Urban,B,Netis,Salim Kinene,William Bwire,0.3145667,32.6220733,,
605003,Observatory,Kampala North,Urban,A,I-Engineering,Joash Lubwama,Allan Kavuma,0.33876838,32.56501424,,
606147,Banda Maanyi,Mityana ,Urban,C,Camusat,M Patrick Kalibbala,Faridah Nantege,0.2558098,31.972989,,
606257,Itangula,Lira ,Rural,B,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.2792172,32.81360059,,
606262,Lira Aloi road,Lira ,Rural,B,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.238643333,32.97365167,,
606291,Kagoma 2/Maganjo,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.39301088,32.54531398,,
606287,Bugabo,Kampala West ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.08997,32.54290667,,
606252,Mpoma,Mukono ,Urban,B,Netis,Samuel Naseke,William Bwire,0.4472567,32.7532383,,
606283,Kyassuma,Masaka ,Urban,C,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.3819267,31.7534967,,
606273,Mpumudde,Mukono ,Urban,C,Netis,Emmanuel Kafuko,William Bwire,0.46408,33.21722,,
606294,Kazinga 2 ( Seroma_Mukono),Mukono ,Urban,B,Netis,Samuel Naseke,William Bwire,0.311896667,32.769675,,
606278,Balintuma Rd,Mityana ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.31279122,32.55701475,,
606288,Bwaise Quality,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.35247433,32.55780419,,
606275,Nabiswa Road Kiwatule,Luwero ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.3704767,32.6239717,,
606272,Kawempe Police ,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.35888224,32.56181567,,
606290,Nsumbi/Kibumbiro,Mityana ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.35337257,32.52019908,,
606258,Patuda,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,2.7470465,32.2686673,,
606325,Rwenzori Towers,Kampala East  ,Urban,B,Netis,Salim Kinene,William Bwire,0.3174,32.579525,,
606284,Mbale Quality/Wanyala Cell,Mbale  ,Rural,B,Netis,Jude Musana,William Bwire,1.071068333,34.16672833,,
606281,Kabowa Quality,Kampala West ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.287958333,32.56270167,,
606298,Apoki/Cegere,Lira ,Rural,C,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.0580928,32.5158091,,
606261,kalong,Kabale  ,Urban,B,Camusat,Denis Masaba,Faridah Nantege,-0.6145411,30.0478519,,
606295,Kanti Mansions,Kampala East  ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.33964,32.58717167,,
606125,Arua Park 2,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.3149554,32.57500147,,
606293,Mbale_College,Mbale  ,Rural,C,Netis,Jude Musana,William Bwire,1.093236667,34.19069167,,
606305,Salaama Rd,Kampala South ,Urban,A,Netis,Salim Kinene,William Bwire,0.25618,32.6002,,
606318,Nyenje,Mukono ,Urban,B,Netis,Samuel Naseke,William Bwire,0.4013317,32.7314897,,
606268,Namere Trading Centre,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.40049281,32.5714509,,
606292,Masanafu,Mityana ,Urban,A,Camusat,Christopher Alituha,Faridah Nantege,0.32816608,32.53158783,,
606270,Kawempe-Kakungulu,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.37299502,32.56806696,,
606299,Oumoo Akua,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,2.9683323,30.8803246,,
606322,Lagwelima/Orom,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,3.40176607,33.46904511,,
606300,Kiwanga,Kampala East  ,Urban,B,Netis,Samuel Naseke,William Bwire,0.374004733,32.68946313,,
606297,Kakajjo Zone,Kampala East  ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.362908333,32.66687333,,
606312,Busibante Najjera,Luwero ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.3891678,32.6286612,,
606315,Tabongo,Jinja ,Rural,B,Netis,Jude Musana,William Bwire,0.512161667,34.07065833,,
606309,Bulindo,Luwero ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.426123333,32.64361,,
606306,Amagoro A,Mbale  ,Rural,C,Netis,Jude Musana,William Bwire,0.691053333,34.19841167,,
606304,Zambia_Zone Arua,Arua  ,Rural,B,I-Engineering,Innocent Ayiko,Allan Kavuma,3.01448853,30.93547021,,
